run,label,epoch,loss,gamma_loss,gamma_mean,gamma_min,gamma_max,gamma_night_mean,sharpness_mean,sharpness_min,sharpness_max,night_prob_mean,AP,AP50,AP75,AR100
baseline,Baseline,1,24.916021,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,2,0.522627,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,3,0.375368,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,4,0.306252,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,5,0.269022,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,6,0.237648,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,7,0.21614,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,8,0.195245,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,9,0.184558,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
baseline,Baseline,10,0.169401,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.72,0.937,0.808,0.782
paper_proposed_10ep,Paper-condition Proposed,1,22.168357,0.018363,1.049812,1.013731,1.085893,1.141918,0.253392,0.103716,0.403068,0.365006,,,,
paper_proposed_10ep,Paper-condition Proposed,2,0.526342,0.015528,1.058544,1.01892,1.098169,1.16945,0.011733,0.003437,0.020029,0.362313,,,,
paper_proposed_10ep,Paper-condition Proposed,3,0.373845,0.005642,1.028092,1.006449,1.049736,1.080334,0.01092,0.003082,0.018759,0.366001,,,,
paper_proposed_10ep,Paper-condition Proposed,4,0.308558,0.002294,1.016488,1.001947,1.031029,1.049387,0.016934,0.005219,0.02865,0.363342,,,,
paper_proposed_10ep,Paper-condition Proposed,5,0.267951,0.001556,0.994499,0.983099,1.005898,0.984326,0.020029,0.006381,0.033677,0.36339,,,,
paper_proposed_10ep,Paper-condition Proposed,6,0.241446,0.001738,0.994393,0.981382,1.007403,0.985507,0.024422,0.008153,0.040691,0.371641,,,,
paper_proposed_10ep,Paper-condition Proposed,7,0.222813,0.001229,0.989371,0.978465,1.000278,0.971154,0.028787,0.009886,0.047688,0.365612,,,,
paper_proposed_10ep,Paper-condition Proposed,8,0.202223,0.000906,0.98927,0.979432,0.999107,0.970052,0.02346,0.008148,0.038771,0.358611,,,,
paper_proposed_10ep,Paper-condition Proposed,9,0.190102,0.001034,0.993778,0.983031,1.004525,0.983501,0.020622,0.006659,0.034585,0.361786,,,,
paper_proposed_10ep,Paper-condition Proposed,10,0.1753,0.001011,0.982204,0.971597,0.992812,0.951202,0.024844,0.008144,0.041543,0.364605,0.699,0.932,0.801,0.759
proposed_10to50_finetune,Proposed finetune 10-50,11,0.151348,0.000527,0.987596,0.979384,0.995808,0.967049,0.026227,0.009087,0.043367,0.365006,,,,
proposed_10to50_finetune,Proposed finetune 10-50,12,0.139803,0.001237,0.978361,0.965712,0.99101,0.939739,0.030121,0.010376,0.049867,0.362313,,,,
proposed_10to50_finetune,Proposed finetune 10-50,13,0.128481,0.000527,0.987661,0.979716,0.995607,0.967939,0.021393,0.006746,0.036041,0.366001,,,,
proposed_10to50_finetune,Proposed finetune 10-50,14,0.119837,0.000645,0.986555,0.977837,0.995273,0.963998,0.021874,0.006869,0.03688,0.363342,,,,
proposed_10to50_finetune,Proposed finetune 10-50,15,0.112511,0.000539,0.986511,0.978149,0.994873,0.964018,0.0224,0.007065,0.037734,0.36339,0.729,0.932,0.812,0.791
proposed_10to50_finetune,Proposed finetune 10-50,16,0.106177,0.000819,0.982563,0.971989,0.993138,0.954327,0.022257,0.006808,0.037707,0.371641,,,,
proposed_10to50_finetune,Proposed finetune 10-50,17,0.101844,0.001113,0.981732,0.969981,0.993483,0.952301,0.027071,0.008369,0.045774,0.365612,,,,
proposed_10to50_finetune,Proposed finetune 10-50,18,0.09865,0.000598,0.988175,0.979228,0.997123,0.968688,0.014791,0.004178,0.025405,0.358611,,,,
proposed_10to50_finetune,Proposed finetune 10-50,19,0.094562,0.001029,0.984307,0.972753,0.995861,0.958177,0.019609,0.005349,0.033869,0.361786,,,,
proposed_10to50_finetune,Proposed finetune 10-50,20,0.090026,0.000958,0.981015,0.969343,0.992686,0.950618,0.020205,0.005475,0.034935,0.364605,0.719,0.928,0.804,0.79
proposed_10to50_finetune,Proposed finetune 10-50,21,0.099231,0.001161,0.983925,0.971985,0.995864,0.960269,0.017995,0.00485,0.03114,0.359422,,,,
proposed_10to50_finetune,Proposed finetune 10-50,22,0.09744,0.000719,0.989569,0.979063,1.000074,0.977578,0.021226,0.005558,0.036894,0.362397,,,,
proposed_10to50_finetune,Proposed finetune 10-50,23,0.090802,0.00088,0.989954,0.978283,1.001626,0.98068,0.023108,0.006002,0.040213,0.364509,,,,
proposed_10to50_finetune,Proposed finetune 10-50,24,0.090009,0.001128,0.991635,0.978118,1.005152,0.989412,0.017662,0.004134,0.03119,0.3657,,,,
proposed_10to50_finetune,Proposed finetune 10-50,25,0.087229,0.001405,0.985258,0.969394,1.001122,0.973685,0.025282,0.005505,0.04506,0.372211,0.728,0.928,0.809,0.799
proposed_10to50_finetune,Proposed finetune 10-50,26,0.087204,0.001535,0.992464,0.975981,1.008948,0.996664,0.019666,0.00433,0.035002,0.3642,,,,
proposed_10to50_finetune,Proposed finetune 10-50,27,0.084184,0.002677,0.998354,0.977892,1.018817,1.017255,0.013449,0.002668,0.024229,0.360913,,,,
proposed_10to50_finetune,Proposed finetune 10-50,28,0.083588,0.002463,0.98792,0.967258,1.008583,0.988323,0.018765,0.003707,0.033824,0.370051,,,,
proposed_10to50_finetune,Proposed finetune 10-50,29,0.079895,0.002027,0.985514,0.966198,1.00483,0.980057,0.028876,0.006691,0.05106,0.362688,,,,
proposed_10to50_finetune,Proposed finetune 10-50,30,0.07975,0.002418,0.984073,0.963565,1.00458,0.975615,0.025146,0.005595,0.044696,0.361721,0.721,0.923,0.804,0.8
